"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"CORO1A"	"CORO1A"	1.91276314189714e-57	-0.377799109689389	0.545	0.743	5.41235458631216e-53	"2"
"HLA-A"	"HLA-A"	1.58869202390593e-53	-0.298916925072544	0.85	0.942	4.49536295084422e-49	"2"
"ZNF331.1"	"ZNF331"	1.66787108704613e-53	-0.49594169068064	0.144	0.298	4.71940802790572e-49	"2"
"CFL1"	"CFL1"	2.19442024714588e-53	-0.346330019478347	0.617	0.796	6.20933153132397e-49	"2"
"ACTG1.1"	"ACTG1"	2.42890919368925e-53	-0.394769235440771	0.697	0.852	6.87284145446309e-49	"2"
"ARPC2"	"ARPC2"	4.28259668973781e-47	-0.338955438796301	0.474	0.662	1.21180355932821e-42	"2"
"RHOH.1"	"RHOH"	3.93622397112898e-45	-0.35393211096506	0.253	0.424	1.11379393487066e-40	"2"
"JUNB.2"	"JUNB"	9.24242657203096e-45	-0.379791031856427	0.618	0.759	2.61523702282188e-40	"2"
"ARHGDIB"	"ARHGDIB"	3.30260596569393e-43	-0.305144111236873	0.579	0.756	9.34505384052753e-39	"2"
"LSP1"	"LSP1"	6.29841466019227e-42	-0.298281121719713	0.304	0.477	1.78219941224801e-37	"2"
"ENO1"	"ENO1"	9.58995862780388e-42	-0.30524560692111	0.23	0.39	2.71357469332339e-37	"2"
"CD79A"	"CD79A"	1.97687213885509e-41	-0.317112451867791	0.68	0.829	5.59375740410437e-37	"2"
"HERPUD1.1"	"HERPUD1"	2.12463504637596e-41	-0.368036646276922	0.448	0.622	6.01186732722541e-37	"2"
"DBI.1"	"DBI"	2.33161958978038e-40	-0.294745024987673	0.17	0.313	6.59755079124256e-36	"2"
"TCL1A.2"	"TCL1A"	2.78958688921101e-40	-0.706322600965891	0.024	0.107	7.89341506171146e-36	"2"
"CAPZB"	"CAPZB"	9.27057550593303e-40	-0.313168718455549	0.215	0.366	2.62320204515881e-35	"2"
"H3F3A"	"H3F3A"	1.08249165239715e-39	-0.278556664101619	0.688	0.837	3.06301837962297e-35	"2"
"POMP.1"	"POMP"	1.37532541727131e-39	-0.317216593551691	0.144	0.276	3.8916208007109e-35	"2"
"CD79B"	"CD79B"	1.77461778678405e-39	-0.310839878168361	0.42	0.602	5.02145848948416e-35	"2"
"PSMA7"	"PSMA7"	6.26265712099825e-39	-0.286636159790312	0.241	0.396	1.77208145895766e-34	"2"
"ACTR3"	"ACTR3"	1.29108982809979e-38	-0.282937324978626	0.267	0.433	3.65326777759118e-34	"2"
"TAGLN2"	"TAGLN2"	2.22341495664552e-37	-0.295105334221051	0.286	0.447	6.29137496132416e-33	"2"
"SARAF.1"	"SARAF"	9.91446899964732e-37	-0.268286276272327	0.39	0.56	2.8053981481402e-32	"2"
"TPI1"	"TPI1"	1.20029702966851e-36	-0.263724146609431	0.21	0.357	3.39636047515e-32	"2"
