"gene"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"
"ATRX"	5.93201238822727e-16	-0.350619400902723	0.096	0.323	1.67852222537279e-11	"12"
"NFKBID"	6.20742103580608e-16	-0.767984103414491	0.025	0.203	1.75645185629169e-11	"12"
"RPS3"	7.72717139653371e-16	0.339580485172641	0.975	0.989	2.18648041836318e-11	"12"
"ADGRE5"	7.86188352389278e-16	-0.630369804902564	0.037	0.222	2.2245985619207e-11	"12"
"VPS13C"	8.06370448602388e-16	-0.533249806389598	0.02	0.194	2.28170582136532e-11	"12"
"STAT3"	9.01001669313962e-16	-0.609296941034085	0.045	0.235	2.54947432349079e-11	"12"
"GNB2L1"	9.15792639613982e-16	0.480721214794515	0.895	0.946	2.59132685305172e-11	"12"
"DUSP2"	1.00721630021893e-15	-0.607825207675291	0.096	0.315	2.85001924309948e-11	"12"
"SFPQ"	1.06353643217519e-15	-0.341282333395941	0.068	0.278	3.00938268848292e-11	"12"
"CTSH"	1.21194683348299e-15	-0.335900486988857	0.167	0.435	3.42932476002346e-11	"12"
"PRPF38B"	1.41994895763757e-15	-0.450504242486462	0.062	0.266	4.01788757053128e-11	"12"
"MTRNR2L1"	1.50630618712119e-15	-1.0893488163622	0.023	0.193	4.26224398707811e-11	"12"
"GSTK1"	1.55033158210242e-15	-0.348929027655434	0.105	0.331	4.38681824471702e-11	"12"
"JAK1"	1.63536908261196e-15	-0.43478718775947	0.11	0.34	4.62744035615881e-11	"12"
"LAPTM4A"	1.65266051845306e-15	-0.377765805939795	0.056	0.257	4.67636820301477e-11	"12"
"KDM6B"	1.76984521525174e-15	-0.715360882461467	0.017	0.183	5.00795402107633e-11	"12"
"PSMA3-AS1"	1.90585400690782e-15	-0.581368453496153	0.048	0.238	5.39280449794638e-11	"12"
"ZFP36L2"	1.9193207380775e-15	-0.39124701075077	0.424	0.743	5.43090996046409e-11	"12"
"MGEA5"	1.95285811924424e-15	-0.37094352793077	0.082	0.297	5.52580733421351e-11	"12"
"RSF1"	2.10972733935771e-15	-0.53029300315359	0.037	0.218	5.96968447944657e-11	"12"
"TMSB10"	2.56145679923981e-15	0.609560405418255	0.89	0.944	7.24789815912896e-11	"12"
"ZNF331"	2.59857008085571e-15	-0.638137319689853	0.071	0.275	7.35291390078931e-11	"12"
"EIF4A1"	2.79773723864033e-15	-0.461410678732757	0.082	0.289	7.91647729045667e-11	"12"
"ORAI2"	2.9048873955372e-15	-0.390701557404937	0.085	0.298	8.21966937441205e-11	"12"
"ATM"	2.93200271261477e-15	-0.422485583616853	0.062	0.264	8.29639487561476e-11	"12"
"ARID4B"	3.03936055672056e-15	-0.340240214285918	0.065	0.268	8.60017463129649e-11	"12"
"TCF4"	3.04122611689536e-15	-0.404720401762533	0.093	0.309	8.60545342036712e-11	"12"
"VPS37B"	3.41853616537982e-15	-0.653445870436464	0.02	0.187	9.67308993355874e-11	"12"
"EPC1"	3.46992892686467e-15	-0.470947563687161	0.042	0.229	9.81851089145626e-11	"12"
"ZCCHC11"	3.57002023168477e-15	-0.568114020113649	0.048	0.235	1.01017292475752e-10	"12"
"TGOLN2"	3.84968362829172e-15	-0.54560381945521	0.025	0.198	1.08930647946142e-10	"12"
"PPM1K"	3.86470314949361e-15	-0.448710152555377	0.065	0.264	1.09355640318071e-10	"12"
"ADAR"	4.10746145426624e-15	-0.595550507132428	0.02	0.186	1.16224729309918e-10	"12"
"RPL3"	4.39867383436439e-15	0.320681825758684	0.986	0.989	1.24464874817175e-10	"12"
"TNFRSF13B"	4.97366901061038e-15	-0.354096366624105	0.113	0.341	1.40734938324231e-10	"12"
"TAGAP"	5.74528631467804e-15	-0.477120922488735	0.056	0.249	1.6256862156013e-10	"12"
"SRRM1"	6.29231193794738e-15	-0.356430799600267	0.133	0.373	1.78047258596159e-10	"12"
"ZBTB20"	6.60735570662845e-15	-0.59040012552848	0.028	0.198	1.86961737074758e-10	"12"
"BTG2"	6.61425807476295e-15	-0.451273634234389	0.071	0.272	1.87157046483492e-10	"12"
"CD82"	7.19418110857959e-15	-0.39474328003705	0.071	0.274	2.03566548648368e-10	"12"
"RHOH"	8.1626058564072e-15	-0.293913015204659	0.138	0.382	2.30969095312898e-10	"12"
"SELL"	9.04034217114753e-15	-0.381865840219054	0.158	0.403	2.5580552207479e-10	"12"
"CHD1"	9.20748568744005e-15	-0.505726635405418	0.042	0.224	2.60535015011804e-10	"12"
"PNRC1"	9.74052495390933e-15	-0.26508006912859	0.308	0.647	2.75617894095818e-10	"12"
